HS2002,SITCR2
152000,51218
152110,43143
152190,43144
152200,43133
160100,0142
160210,0149
160220,0149
160231,0149
160232,0149
160239,0149
160241,0149
160242,0149
160249,0149
160250,0149
160290,0149
160300,0141
160411,0371
160412,0371
160413,0371
160414,0371
160415,0371
160416,0371
160419,0371
160420,0371
160430,0371
160510,0372
160520,0372
160530,0372
160540,0372
160590,0372
170111,0611
170112,0611
170191,0612
170199,0612
170211,0619
170219,0619
170220,0619
170230,0619
170240,0619
170250,51692
170260,0619
170290,0619
170310,0615
170390,0615
170410,0620
170490,0620
180100,0721
180200,08192
180310,07231
180320,07231
180400,07232
180500,0722
180610,0730
180620,0730
180631,0730
180632,0730
180690,0730
190110,0488
190120,0488
190190,0488
190211,0483
190219,0483
190220,09809
190230,09809
190240,0483
190300,05645
190410,04812
190420,04812
190430,04811
190490,09809
190510,04841
190520,04842
190531,04842
190532,04842
190540,04841
190590,04841
200110,05651
200190,05651
200210,05659
200290,05659
200310,05659
200320,05659
200390,05659
200410,05461
200490,05461
200510,09801
200520,05659
200540,05659
200551,05659
200559,05659
200560,05659
200570,05659
200580,09809
200590,05659
200600,0582
200710,0583
200791,0583
200799,0583
200811,05891
200819,05891
200820,05899
200830,05899
200840,05899
200850,05899
200860,05899
200870,05899
200880,05899
200891,09809
200892,05899
200899,05899
200911,05851
200912,05851
200919,05851
200921,05852
200929,05852
200931,05853
200939,05853
200941,05854
200949,05854
200950,05855
200961,05857
200969,05857
200971,05857
200979,05857
200980,05857
200990,05858
210111,0712
210112,0712
210120,09802
210130,0712
210210,09806
210220,09806
210230,09806
210310,09804
210320,09804
210330,09803
210390,09804
210410,09805
210420,09801
210500,09809
210610,09809
210690,09809
220110,11101
220190,11101
220210,11102
220290,11102
220300,1123
220410,11212
220421,11212
220429,11212
220430,11211
220510,11213
220590,11213
220600,1122
220710,51216
220720,51216
220820,11242
220830,11241
220840,11249
220850,11249
220860,11249
220870,11249
220890,11249
220900,09807
230110,08141
230120,08142
230210,08121
230220,08121
230230,08122
230240,08122
230250,08123
230310,08193
230320,08193
230330,08193
230400,08131
230500,08132
230610,08133
230620,08134
230630,08135
230641,08136
230649,08136
230650,08137
230660,08138
230670,08139
230690,08139
230700,08194
230800,08119
230910,08199
230990,08199
240110,1211
240120,1212
240130,1213
240210,1221
240220,1222
240290,1222
240310,1223
240391,1223
240399,1223
250100,2783
250200,2742
250300,2741
250410,27822
250490,27822
250510,2733
250590,2733
250610,27851
250621,27851
250629,27851
250700,27821
250810,27821
250820,27821
250830,27821
250840,27821
250850,27821
250860,27821
250870,27821
250900,27891
251010,27131
251020,27132
251110,27892
251120,27892
251200,27895
251311,27722
251319,27722
251320,27722
251400,27311
251511,27312
251512,27312
251520,27312
251611,27313
251612,27313
251621,27313
251622,27313
251690,27313
251710,2734
251720,2734
251730,2734
251741,2734
251749,2734
251810,27823
251820,27823
251830,27823
251910,27824
251990,27824
252010,27323
252020,27324
252100,27322
252210,6611
252220,6611
252230,6611
252310,6612
252321,6612
252329,6612
252330,6612
252390,6612
252400,2784
252510,27852
252520,27852
252530,27852
252610,27893
252620,27893
252810,27894
252890,27894
252910,27854
252921,27854
252922,27854
252930,27854
253010,27899
253020,27899
253090,27899
260111,2815
260112,2816
260120,2814
260200,2877
260300,28711
260400,28721
260500,28799
260600,28731
260700,2874
260800,2875
260900,2876
261000,28791
261100,28792
261210,2860
261220,2860
261310,28793
261390,28793
261400,28793
261510,28793
261590,28793
261610,28901
261690,28901
261710,28799
261790,28799
261800,27861
261900,27861
262011,2881
262019,2881
262021,2881
262029,2881
262030,2881
262040,2881
262060,2881
262091,2881
262099,2881
262110,27862
262190,27862
270111,3221
270112,3222
270119,3222
270120,32311
270210,3223
270220,32312
270300,3224
270400,3232
270500,3415
270600,33521
270710,33522
270720,33523
270730,33524
270740,33525
270750,33525
270760,33525
270791,33525
270799,33525
270810,33531
270820,33532
270900,3330
271011,334
271019,334
271091,334
271099,334
271111,34139
271112,34131
271113,34131
271114,34139
271119,34139
271121,3414
271129,3414
271210,33511
271220,33512
271290,33512
271311,33542
271312,33542
271320,33541
271390,33541
271410,27896
271490,27896
271500,33543
271600,3510
280110,52213
280120,52214
280130,52214
280200,52215
280300,52218
280410,52211
280421,52211
280429,52211
280430,52211
280440,52211
280450,52212
280461,52212
280469,52212
280470,52212
280480,52212
280490,52212
280511,52217
280512,52217
280519,52217
280530,52217
280540,52216
280610,52221
280620,52221
280700,52222
280800,52223
280910,52224
280920,52224
281000,52225
281111,52229
281119,52229
281121,52229
281122,52229
281123,52229
281129,52229
281210,52231
281290,52231
281310,52232
281390,52232
281410,52251
281420,52251
281511,52252
281512,52253
281520,52254
281530,52254
281610,52255
281640,52255
281700,52241
281810,52257
281820,28732
281830,52256
281910,52242
281990,52242
282010,52243
282090,52243
282110,52244
282120,52244
282200,52245
282300,52246
282410,52247
282420,52247
282490,52247
282510,52259
282520,52259
282530,52259
282540,52259
282550,52259
282560,52259
282570,52259
282580,52259
282590,52259
282611,52311
282612,52311
282619,52311
282620,52311
282630,52311
282690,52311
282710,52312
282720,52312
282731,52312
282732,52312
282733,52312
282734,52312
282735,52312
282736,52312
282739,52312
282741,52312
282749,52312
282751,52312
282759,52312
282760,52312
282810,52313
282890,52313
282911,52314
282919,52314
282990,52314
283010,52315
283020,52315
283030,52315
283090,52315
283110,52316
283190,52316
283210,52317
283220,52317
283230,52317
283311,52318
283319,52318
283321,52319
283322,52319
283323,52319
283324,52319
283325,52319
283326,52319
283327,52319
283329,52319
283330,52319
283340,52319
283410,52321
283421,52321
283429,52321
283510,52322
283522,52322
283523,52322
283524,52322
283525,52322
283526,52322
283529,52322
283531,52322
283539,52322
283610,52324
283620,52323
283630,52324
283640,52324
283650,52324
283660,52324
283670,52324
283691,52324
283692,52324
283699,52324
283711,52325
283719,52325
283720,52325
283800,52326
283911,52327
283919,52327
283920,52327
283990,52327
284011,52328
284019,52328
284020,52328
284030,52328
284110,52331
284120,52331
284130,52331
284150,52331
284161,52331
284169,52331
284170,52331
284180,52331
284190,52331
284210,52329
284290,52329
284310,52332
284321,52332
284329,52332
284330,52332
284390,52332
284410,5241
284420,5241
284430,6880
284440,5241
284450,5241
284510,52491
284590,52491
284610,52492
284690,52492
284700,52391
284800,52392
284910,52393
284920,52394
284990,52394
285000,52395
285100,52399
290110,51119
290121,51111
290122,51112
290123,51113
290124,51113
290129,51119
290211,51121
290219,51129
290220,51122
290230,51123
290241,51124
290242,51124
290243,51124
290244,51124
290250,51125
290260,51126
290270,51129
290290,51129
290311,51139
290312,51139
290313,51139
290314,51139
290315,51139
290319,51139
290321,51131
290322,51132
290323,51133
290329,51139
290330,51139
290341,51139
290342,51139
290343,51139
290344,51139
290345,51139
290346,51139
290347,51139
290349,51139
290351,51139
290359,51139
290361,51139
290362,51139
290369,51139
290410,5114
290420,5114
290490,5114
290511,51211
290512,51212
290513,51213
290514,51213
290515,51219
290516,51214
290517,51219
290519,51219
290522,51219
290529,51219
290531,51215
290532,51219
290539,51219
290541,51219
290542,51219
290543,51219
290544,51219
290545,51218
290549,51219
290551,51219
290559,51219
290611,5122
290612,5122
290613,5122
290614,5122
290619,5122
290621,5122
290629,5122
290711,51234
290712,51235
290713,51236
290714,51236
290715,51236
290719,51236
290721,51236
290722,51236
290723,51236
290729,51236
290810,51237
290820,51237
290890,51237
290911,51611
290919,51611
290920,51611
290930,51611
290941,51611
290942,51611
290943,51611
290944,51611
290949,51611
290950,51611
290960,51611
291010,51613
291020,51614
291030,51619
291090,51619
291100,51612
291211,51621
291212,51621
291213,51621
291219,51621
291221,51621
291229,51621
291230,51621
291241,51621
291242,51621
291249,51621
291250,51621
291260,51621
291300,51622
291411,51623
291412,51624
291413,51629
291419,51629
291421,51629
291422,51629
291423,51629
291429,51629
291431,51629
291439,51629
291440,51629
291450,51629
291461,51629
291469,51629
291470,51629
291511,51379
291512,51379
291513,51379
291521,51371
291522,51371
291523,51371
291524,51379
291529,51371
291531,51372
291532,51372
291533,51372
291534,51372
