exporter
Afghanistan
Afr.Other NS
Africa N.NES
Albania
Algeria
Angola
Areas NES
Argentina
Armenia
Asia NES
Asia West NS
Australia
Austria
Azerbaijan
Bahamas
Bahrain
Bangladesh
Barbados
Belarus
Belgium-Lux
Belize
Benin
Bermuda
Bolivia
Bosnia Herzg
Br.Antr.Terr
Brazil
Bulgaria
Burkina Faso
Burundi
CACM NES
Cambodia
Cameroon
Canada
Carib. NES
Cent.Afr.Rep
Chad
Chile
China
China FTZ
China HK SAR
China MC SAR
China SC
Colombia
Congo
Costa Rica
Cote Divoire
Croatia
Cuba
Cyprus
Czech Rep
Czechoslovak
Dem.Rp.Congo
Denmark
Djibouti
Dominican Rp
E Europe NES
EEC NES
Ecuador
Egypt
El Salvador
Eq.Guinea
Estonia
Ethiopia
Eur.Other NE
Falkland Is
Fiji
Finland
Fm German DR
Fm German FR
Fm USSR
Fm Yemen AR
Fm Yemen Dm
Fm Yugoslav
Fr Ind O
Fr.Guiana
"France,Monac"
Gabon
Gambia
Georgia
Germany
Ghana
Gibraltar
Greece
Greenland
Guadeloupe
Guatemala
Guinea
GuineaBissau
Guyana
Haiti
Honduras
Hungary
Iceland
India
Indonesia
Iran
Iraq
Ireland
Israel
Italy
Jamaica
Japan
Jordan
Kazakhstan
Kenya
Kiribati
Korea D P Rp
Korea Rep.
Kuwait
Kyrgyzstan
LAIA NES
Lao P.Dem.R
Latvia
Lebanon
Liberia
Libya
Lithuania
Madagascar
Malawi
Malaysia
Mali
Malta
Mauritania
Mauritius
Mexico
Mongolia
Morocco
Mozambique
Myanmar
Nepal
Neth.Ant.Aru
Netherlands
Neutral Zone
New Calednia
New Zealand
Nicaragua
Niger
Nigeria
Norway
Occ.Pal.Terr
Oman
Oth.Oceania
Pakistan
Panama
Papua N.Guin
Paraguay
Peru
Philippines
Poland
Portugal
Qatar
Rep Moldova
Romania
Russian Fed
Rwanda
Samoa
Saudi Arabia
Senegal
Seychelles
Sierra Leone
Singapore
Slovakia
Slovenia
Somalia
South Africa
Spain
Sri Lanka
St.Helena
St.Kt-Nev-An
St.Pierre Mq
Sudan
Suriname
Sweden
Switz.Liecht
Syria
TFYR Macedna
Taiwan
Tajikistan
Tanzania
Thailand
Togo
Trinidad Tbg
Tunisia
Turkey
Turkmenistan
UK
US NES
USA
Uganda
Ukraine
Untd Arab Em
Uruguay
Uzbekistan
Venezuela
Viet Nam
World
Yemen
Yugoslavia
Zambia
Zimbabwe
