"Code","ShortDescription","LongDescription","isBasicLevel","AggregateLevel","parentCode"
"65148","Yarn 85% of synthetic fibres, not for retail; monofil, strip, etc; of discontinuous synthetic fibres","-- of discontinuous synthetic fibres",1,5,"6514"
"65149","Yarn 85% of synthetic fibres, not for retail; monofil, strip, etc; monofil, strip and imitation catgut","-- monofil, strip and imitation catgut",1,5,"6514"
"6515","Yarn containing 85% or more of synthetic fibres, put up for retail","Yarn containing 85% or more of synthetic fibres, put up for retail",0,4,"651"
"65151","Yarn containing 85% or more of synthetic fibres, put up for retail; of continuous fibres","-- of continuous fibres",1,5,"6515"
"65152","Yarn containing 85% or more of synthetic fibres, put up for retail; of discontinuous fibres","-- of discontinuous fibres",1,5,"6515"
"6516","Yarn containing less than 85% of discontinuous synthetic fibres","Yarn containing less than 85% of discontinuous synthetic fibres",0,4,"651"
"65166","Yarn containing less than 85% of discontinuous synthetic fibres; mixed mainly or solely with cotton, not for retail","-- mixed mainly or solely with cotton, not for retail",1,5,"6516"
"65167","Yarn containing less than 85% of discontinuous synthetic fibres; mixed mainly with wool, fine animal hair, etc, not for retail","-- mixed mainly with wool, fine animal hair, etc, not for retail",1,5,"6516"
"65168","Yarn containing less than 85% of discontinuous synthetic fibres; mixed with other than wool, cotton, etc, not put for retail","-- mixed with other than wool, cotton, etc, not put for retail",1,5,"6516"
"65169","Yarn containing less than 85% of discontinuous synthetic fibres; put up for retail sale","-- put up for retail sale",1,5,"6516"
"6517","Yarn of regenerated fibres, not for retail, monofil, strip, etc","Yarn of regenerated fibres, not for retail, monofil, strip, etc",0,4,"651"
"65171","Yarn of continuous viscose rayon","Yarn of continuous viscose rayon",1,5,"6517"
"65172","Yarn of continuous acetate fibres","Yarn of continuous acetate fibres",1,5,"6517"
"65173","Yarn of other continuous regenerated textile fibres","Yarn of other continuous regenerated textile fibres",1,5,"6517"
"65174","Yarn with 85% or more of discontinuous regenerated fibres","Yarn with 85% or more of discontinuous regenerated fibres",1,5,"6517"
"65175","Yarn with less than 85% discontinuous regenerated fibres/cotton","Yarn with less than 85% discontinuous regenerated fibres/cotton",1,5,"6517"
"65176","Yarn with less than 85% discontinuous regenerated fibres/wool, etc","Yarn with less than 85% discontinuous regenerated fibres/wool, etc",1,5,"6517"
"65177","Other discontinuous regenerated blend yarn","Other discontinuous regenerated blend yarn",1,5,"6517"
"65178","Monofil, strip and imitation catgut, of regenerated fibre materials","Monofil, strip and imitation catgut, of regenerated fibre materials",1,5,"6517"
"6518","Yarn of regenerated fibres, put up for retail sale","Yarn of regenerated fibres, put up for retail sale",0,4,"651"
"65181","Yarn of regenerated fibres, put up for retail sale; of continuous fibres","-- of continuous fibres",1,5,"6518"
"65182","Yarn of regenerated fibres, put up for retail sale; of discontin fibres","-- of discontin fibres",1,5,"6518"
"6519","Yarn of textile fibres, nes","Yarn of textile fibres, nes",0,4,"651"
"65191","Metallized yarn, being textile yarn spun with metal","Metallized yarn, being textile yarn spun with metal",1,5,"6519"
"65195","Yarn, slivers and roving of glass fibre","Yarn, slivers and roving of glass fibre",1,5,"6519"
"65196","Flax or ramie yarn not put up for retail sale","Flax or ramie yarn not put up for retail sale",1,5,"6519"
